payment_id,trip_id,trip_fare,mode_of_payment
PAY1,TRIP1,661.07,Cash
PAY2,TRIP2,172.58,UPI
PAY3,TRIP3,127.85,UPI
PAY4,TRIP4,178.38,Wallet
PAY5,TRIP5,811.1,Card
PAY6,TRIP6,190.15,UPI
PAY7,TRIP7,837.72,UPI
PAY8,TRIP8,732.2,Wallet
PAY9,TRIP9,356.91,Card
PAY10,TRIP10,260.39,Card
PAY11,TRIP11,124.89,Wallet
PAY12,TRIP12,702,Cash
PAY13,TRIP13,102.77,UPI
PAY14,TRIP14,484.5,Cash
PAY15,TRIP15,114.7,Wallet
PAY16,TRIP16,305.13,Cash
PAY17,TRIP17,919.1,Card
PAY18,TRIP18,850.29,Cash
PAY19,TRIP19,863.22,Card
PAY20,TRIP20,298.74,Cash
PAY21,TRIP21,755.95,UPI
PAY22,TRIP22,997.82,Wallet
PAY23,TRIP23,808.72,Card
PAY24,TRIP24,472.35,Card
PAY25,TRIP25,141.54,Card
PAY26,TRIP26,230.55,Cash
PAY27,TRIP27,921.66,Cash
PAY28,TRIP28,809.72,Card
PAY29,TRIP29,693.58,Wallet
PAY30,TRIP30,827.24,Card
PAY31,TRIP31,98.17,UPI
PAY32,TRIP32,990.14,Wallet
PAY33,TRIP33,948.2,UPI
PAY34,TRIP34,993.92,Cash
PAY35,TRIP35,396.46,Cash
PAY36,TRIP36,320.02,UPI
PAY37,TRIP37,273.81,Wallet
PAY38,TRIP38,961.05,Card
PAY39,TRIP39,254.37,Cash
PAY40,TRIP40,864.28,Card
PAY41,TRIP41,204.59,Cash
PAY42,TRIP42,334.13,Cash
PAY43,TRIP43,213.41,UPI
PAY44,TRIP44,681.47,UPI
PAY45,TRIP45,216.66,Wallet
PAY46,TRIP46,571.56,Wallet
PAY47,TRIP47,187.71,Wallet
PAY48,TRIP48,760.17,UPI
PAY49,TRIP49,266.93,Card
PAY50,TRIP50,143.71,Card
PAY51,TRIP51,435.17,Cash
PAY52,TRIP52,286.01,Wallet
PAY53,TRIP53,659.51,UPI
PAY54,TRIP54,790.69,Wallet
PAY55,TRIP55,464.55,Wallet
PAY56,TRIP56,686.2,Cash
PAY57,TRIP57,249.63,Wallet
PAY58,TRIP58,77.63,Cash
PAY59,TRIP59,345.76,UPI
PAY60,TRIP60,75.34,Card
PAY61,TRIP61,769,Wallet
PAY62,TRIP62,227.92,Wallet
PAY63,TRIP63,197.13,Card
PAY64,TRIP64,329.61,Wallet
PAY65,TRIP65,678.13,Cash
PAY66,TRIP66,366.08,Wallet
PAY67,TRIP67,103.01,Wallet
PAY68,TRIP68,242.31,UPI
PAY69,TRIP69,618.59,Cash
PAY70,TRIP70,313.4,Cash
PAY71,TRIP71,58.04,UPI
PAY72,TRIP72,862.32,Cash
PAY73,TRIP73,448.07,Cash
PAY74,TRIP74,599.5,Cash
PAY75,TRIP75,928.72,Cash
PAY76,TRIP76,941.69,Cash
PAY77,TRIP77,226.02,UPI
PAY78,TRIP78,483.99,Card
PAY79,TRIP79,516.7,Cash
PAY80,TRIP80,572.99,Wallet
PAY81,TRIP81,649.84,Cash
PAY82,TRIP82,962.26,UPI
PAY83,TRIP83,397.7,Cash
PAY84,TRIP84,461.52,Card
PAY85,TRIP85,345.39,Cash
PAY86,TRIP86,600.82,Cash
PAY87,TRIP87,702.41,Card
PAY88,TRIP88,496.58,Cash
PAY89,TRIP89,190.43,Card
PAY90,TRIP90,561.53,Wallet
PAY91,TRIP91,616.11,Card
PAY92,TRIP92,681.37,UPI
PAY93,TRIP93,190.48,UPI
PAY94,TRIP94,945.56,Cash
PAY95,TRIP95,464.43,Wallet
PAY96,TRIP96,401.26,Card
PAY97,TRIP97,550.42,Cash
PAY98,TRIP98,420.72,Wallet
PAY99,TRIP99,417.44,Card
PAY100,TRIP100,902.83,Wallet
PAY101,TRIP101,374.68,Card
PAY102,TRIP102,551.56,UPI
PAY103,TRIP103,374.82,Cash
PAY104,TRIP104,957.69,Cash
PAY105,TRIP105,280.65,Card
PAY106,TRIP106,665.22,Wallet
PAY107,TRIP107,724.06,UPI
PAY108,TRIP108,580.95,Wallet
PAY109,TRIP109,674.5,Cash
PAY110,TRIP110,994.84,Card
PAY111,TRIP111,461.71,Cash
PAY112,TRIP112,390.89,Wallet
PAY113,TRIP113,698.51,UPI
PAY114,TRIP114,807.09,Wallet
PAY115,TRIP115,873.84,Card
PAY116,TRIP116,610.5,Wallet
PAY117,TRIP117,630.9,Wallet
PAY118,TRIP118,272.72,Card
PAY119,TRIP119,51.89,Cash
PAY120,TRIP120,775.79,UPI
PAY121,TRIP121,127.84,Card
PAY122,TRIP122,793.09,UPI
PAY123,TRIP123,138.25,Cash
PAY124,TRIP124,318.33,Cash
PAY125,TRIP125,717.85,Cash
PAY126,TRIP126,395.68,Wallet
PAY127,TRIP127,102.54,Cash
PAY128,TRIP128,719.43,Cash
PAY129,TRIP129,132.08,Cash
PAY130,TRIP130,739.3,Card
PAY131,TRIP131,473.14,Cash
PAY132,TRIP132,623.69,Cash
PAY133,TRIP133,851.04,Cash
PAY134,TRIP134,355.71,Cash
PAY135,TRIP135,113.59,Cash
PAY136,TRIP136,719.5,Wallet
PAY137,TRIP137,886.7,Wallet
PAY138,TRIP138,318.09,Wallet
PAY139,TRIP139,424.58,Cash
PAY140,TRIP140,439.79,Card
PAY141,TRIP141,336.75,Cash
PAY142,TRIP142,644.08,Cash
PAY143,TRIP143,92.33,Card
PAY144,TRIP144,670.57,Card
PAY145,TRIP145,565.08,Wallet
PAY146,TRIP146,84.81,UPI
PAY147,TRIP147,964.06,Wallet
PAY148,TRIP148,793.4,UPI
PAY149,TRIP149,549.44,Cash
PAY150,TRIP150,428.19,Cash
PAY151,TRIP151,221.26,UPI
PAY152,TRIP152,639.5,Card
PAY153,TRIP153,254.21,Cash
PAY154,TRIP154,435.31,UPI
PAY155,TRIP155,124.27,Cash
PAY156,TRIP156,973.17,Wallet
PAY157,TRIP157,434.33,Wallet
PAY158,TRIP158,844.47,Cash
PAY159,TRIP159,942.87,UPI
PAY160,TRIP160,708.63,Wallet
PAY161,TRIP161,880.12,Wallet
PAY162,TRIP162,599.72,Cash
PAY163,TRIP163,578.72,Cash
PAY164,TRIP164,162.86,Cash
PAY165,TRIP165,142.59,Wallet
PAY166,TRIP166,816.09,UPI
PAY167,TRIP167,719.93,Wallet
PAY168,TRIP168,101.24,Card
PAY169,TRIP169,806.03,UPI
PAY170,TRIP170,515,Wallet
PAY171,TRIP171,68.51,Wallet
PAY172,TRIP172,981.41,UPI
PAY173,TRIP173,105.09,Wallet
PAY174,TRIP174,561.25,Cash
PAY175,TRIP175,798.17,Wallet
PAY176,TRIP176,62.82,Card
PAY177,TRIP177,353.47,Cash
PAY178,TRIP178,168.8,Wallet
PAY179,TRIP179,409.77,Cash
PAY180,TRIP180,534.12,Card
PAY181,TRIP181,941.34,Wallet
PAY182,TRIP182,520,Card
PAY183,TRIP183,978.41,Cash
PAY184,TRIP184,891.8,Card
PAY185,TRIP185,761.25,UPI
PAY186,TRIP186,387.99,Cash
PAY187,TRIP187,363.17,Wallet
PAY188,TRIP188,102,Card
PAY189,TRIP189,234.37,Wallet
PAY190,TRIP190,147.12,Wallet
PAY191,TRIP191,338.49,UPI
PAY192,TRIP192,942.57,Card
PAY193,TRIP193,419.3,UPI
PAY194,TRIP194,345.38,Cash
PAY195,TRIP195,507.95,Wallet
PAY196,TRIP196,534.63,UPI
PAY197,TRIP197,593.48,Wallet
PAY198,TRIP198,871.06,Cash
PAY199,TRIP199,85.23,Cash
PAY200,TRIP200,907.45,Wallet
PAY201,TRIP201,493.86,Card
PAY202,TRIP202,474.03,UPI
PAY203,TRIP203,906.01,Wallet
PAY204,TRIP204,144.14,Card
PAY205,TRIP205,245.17,Cash
PAY206,TRIP206,235.44,Card
PAY207,TRIP207,253.33,Card
PAY208,TRIP208,235.86,Cash
PAY209,TRIP209,309.94,Wallet
PAY210,TRIP210,871.62,UPI
PAY211,TRIP211,206.82,UPI
PAY212,TRIP212,357.04,Card
PAY213,TRIP213,462.96,UPI
PAY214,TRIP214,217.68,Cash
PAY215,TRIP215,553.86,Wallet
PAY216,TRIP216,966.26,Cash
PAY217,TRIP217,467.15,UPI
PAY218,TRIP218,818.21,Cash
