payment_id,trip_id,trip_fare,mode_of_payment
PAY1,TRIP1,661.07,Cash
PAY4,TRIP4,178.38,Wallet
PAY11,TRIP11,124.89,Wallet
PAY13,TRIP13,102.77,UPI
PAY15,TRIP15,114.7,Wallet
PAY16,TRIP16,305.13,Cash
PAY17,TRIP17,919.1,Card
PAY19,TRIP19,863.22,Card
PAY21,TRIP21,755.95,UPI
PAY24,TRIP24,472.35,Card
PAY26,TRIP26,230.55,Cash
PAY33,TRIP33,948.2,UPI
PAY35,TRIP35,396.46,Cash
PAY42,TRIP42,334.13,Cash
PAY43,TRIP43,213.41,UPI
PAY46,TRIP46,571.56,Wallet
PAY49,TRIP49,266.93,Card
PAY51,TRIP51,435.17,Cash
PAY54,TRIP54,790.69,Wallet
PAY56,TRIP56,686.2,Cash
PAY59,TRIP59,345.76,UPI
PAY70,TRIP70,313.4,Cash
PAY71,TRIP71,58.04,UPI
PAY75,TRIP75,928.72,Cash
PAY76,TRIP76,941.69,Cash
PAY84,TRIP84,461.52,Card
PAY88,TRIP88,496.58,Cash
PAY94,TRIP94,945.56,Cash
PAY95,TRIP95,464.43,Wallet
PAY98,TRIP98,420.72,Wallet
PAY101,TRIP101,374.68,Card
PAY104,TRIP104,957.69,Cash
PAY107,TRIP107,724.06,UPI
PAY111,TRIP111,461.71,Cash
PAY115,TRIP115,873.84,Card
PAY117,TRIP117,630.9,Wallet
PAY125,TRIP125,717.85,Cash
PAY127,TRIP127,102.54,Cash
PAY137,TRIP137,886.7,Wallet
PAY138,TRIP138,318.09,Wallet
PAY143,TRIP143,92.33,Card
PAY145,TRIP145,565.08,Wallet
PAY146,TRIP146,84.81,UPI
PAY170,TRIP170,515.0,Wallet
PAY173,TRIP173,105.09,Wallet
PAY175,TRIP175,798.17,Wallet
PAY177,TRIP177,353.47,Cash
PAY178,TRIP178,168.8,Wallet
PAY179,TRIP179,409.77,Cash
PAY184,TRIP184,891.8,Card
PAY185,TRIP185,761.25,UPI
PAY186,TRIP186,387.99,Cash
PAY189,TRIP189,234.37,Wallet
PAY192,TRIP192,942.57,Card
PAY194,TRIP194,345.38,Cash
PAY195,TRIP195,507.95,Wallet
PAY202,TRIP202,474.03,UPI
PAY207,TRIP207,253.33,Card
PAY210,TRIP210,871.62,UPI
PAY211,TRIP211,206.82,UPI
PAY213,TRIP213,462.96,UPI
PAY217,TRIP217,467.15,UPI
PAY218,TRIP218,818.21,Cash
PAY219,TRIP219,637.89,UPI
PAY223,TRIP223,617.93,Wallet
PAY224,TRIP224,821.17,Wallet
PAY231,TRIP231,516.86,UPI
PAY235,TRIP235,381.47,Wallet
PAY237,TRIP237,527.87,UPI
PAY240,TRIP240,902.18,Wallet
PAY241,TRIP241,736.09,UPI
PAY245,TRIP245,897.95,UPI
PAY246,TRIP246,876.95,UPI
PAY247,TRIP247,975.93,UPI
PAY253,TRIP253,642.39,Wallet
PAY256,TRIP256,475.04,Wallet
PAY259,TRIP259,517.57,UPI
PAY261,TRIP261,157.71,Cash
PAY263,TRIP263,514.03,UPI
PAY264,TRIP264,426.8,Card
PAY265,TRIP265,301.23,Cash
PAY269,TRIP269,890.46,UPI
PAY271,TRIP271,686.93,Card
PAY275,TRIP275,676.26,Card
PAY276,TRIP276,190.89,Card
PAY279,TRIP279,86.78,Cash
PAY281,TRIP281,687.71,Card
PAY282,TRIP282,440.61,Cash
PAY283,TRIP283,129.0,UPI
PAY284,TRIP284,705.31,UPI
PAY285,TRIP285,985.88,Cash
PAY287,TRIP287,210.2,Cash
PAY301,TRIP301,207.93,Cash
PAY307,TRIP307,330.36,Cash
PAY308,TRIP308,428.7,Wallet
PAY311,TRIP311,340.18,Cash
PAY313,TRIP313,879.38,Card
PAY314,TRIP314,426.65,Card
PAY318,TRIP318,349.41,Wallet
PAY320,TRIP320,101.85,Card
PAY326,TRIP326,531.31,UPI
PAY328,TRIP328,244.66,Cash
PAY329,TRIP329,568.72,Card
PAY330,TRIP330,864.12,UPI
PAY334,TRIP334,866.18,Wallet
PAY335,TRIP335,814.66,UPI
PAY337,TRIP337,664.52,UPI
PAY341,TRIP341,318.33,Cash
PAY344,TRIP344,681.49,UPI
PAY350,TRIP350,964.9,Card
PAY351,TRIP351,741.15,Card
PAY356,TRIP356,56.31,Wallet
PAY358,TRIP358,335.85,Card
