trip_id,customer_id,driver_id,pickup_location,drop_location,trip_fare
TRIP1,CUST31637,DRIVER7159,Kolkata,Hyderabad,661.07
TRIP4,CUST10774,DRIVER9615,Delhi,Ahmedabad,178.38
TRIP11,CUST20997,DRIVER117,Chennai,Mumbai,124.89
TRIP13,CUST31076,DRIVER8178,Pune,Lucknow,102.77
TRIP15,CUST27166,DRIVER7582,Delhi,Mumbai,114.7
TRIP16,CUST900,DRIVER8496,Hyderabad,Delhi,305.13
TRIP17,CUST18874,DRIVER2768,Hyderabad,Bangalore,919.1
TRIP19,CUST22604,DRIVER9067,Kolkata,Chennai,863.22
TRIP21,CUST8556,DRIVER9685,Jaipur,Bangalore,755.95
TRIP24,CUST39133,DRIVER4734,Pune,Delhi,472.35
TRIP26,CUST1013,DRIVER8358,Hyderabad,Chennai,230.55
TRIP33,CUST9265,DRIVER3465,Ahmedabad,Kolkata,948.2
TRIP35,CUST46658,DRIVER2615,Lucknow,Delhi,396.46
TRIP42,CUST38801,DRIVER9879,Hyderabad,Chennai,334.13
TRIP43,CUST47107,DRIVER7014,Bangalore,Chennai,213.41
TRIP46,CUST38444,DRIVER8710,Hyderabad,Kolkata,571.56
TRIP49,CUST42655,DRIVER5923,Chennai,Kolkata,266.93
TRIP51,CUST4106,DRIVER3076,Bangalore,Chennai,435.17
TRIP54,CUST33634,DRIVER6938,Jaipur,Hyderabad,790.69
TRIP56,CUST27279,DRIVER7893,Lucknow,Bangalore,686.2
TRIP59,CUST27998,DRIVER8501,Kolkata,Delhi,345.76
TRIP70,CUST35793,DRIVER4762,Ahmedabad,Kolkata,313.4
TRIP71,CUST14131,DRIVER4600,Hyderabad,Chennai,58.04
TRIP75,CUST44295,DRIVER3538,Delhi,Jaipur,928.72
TRIP76,CUST46862,DRIVER7153,Mumbai,Hyderabad,941.69
TRIP84,CUST36654,DRIVER3954,Pune,Hyderabad,461.52
TRIP88,CUST12309,DRIVER612,Pune,Delhi,496.58
TRIP94,CUST24921,DRIVER9376,Mumbai,Chennai,945.56
TRIP95,CUST7150,DRIVER5893,Kolkata,Chennai,464.43
TRIP98,CUST6864,DRIVER7872,Mumbai,Lucknow,420.72
TRIP101,CUST1404,DRIVER1701,Chennai,Hyderabad,374.68
TRIP104,CUST16439,DRIVER9869,Chennai,Lucknow,957.69
TRIP107,CUST27034,DRIVER4713,Kolkata,Jaipur,724.06
TRIP111,CUST10333,DRIVER5573,Pune,Bangalore,461.71
TRIP115,CUST2684,DRIVER2770,Mumbai,Bangalore,873.84
TRIP117,CUST49927,DRIVER226,Mumbai,Jaipur,630.9
TRIP125,CUST28697,DRIVER2879,Bangalore,Jaipur,717.85
TRIP127,CUST23954,DRIVER5625,Delhi,Jaipur,102.54
TRIP137,CUST14976,DRIVER6711,Lucknow,Ahmedabad,886.7
TRIP138,CUST25933,DRIVER6403,Chennai,Ahmedabad,318.09
TRIP143,CUST17911,DRIVER2891,Delhi,Lucknow,92.33
TRIP145,CUST45016,DRIVER3626,Pune,Delhi,565.08
TRIP146,CUST46838,DRIVER9442,Bangalore,Delhi,84.81
TRIP170,CUST23640,DRIVER7292,Chennai,Lucknow,515.0
TRIP173,CUST37580,DRIVER6829,Chennai,Delhi,105.09
TRIP175,CUST49383,DRIVER9531,Mumbai,Chennai,798.17
TRIP177,CUST19317,DRIVER7557,Jaipur,Kolkata,353.47
TRIP178,CUST42487,DRIVER3777,Hyderabad,Mumbai,168.8
TRIP179,CUST36729,DRIVER7818,Lucknow,Chennai,409.77
TRIP184,CUST31902,DRIVER1723,Bangalore,Hyderabad,891.8
TRIP185,CUST6560,DRIVER7396,Mumbai,Bangalore,761.25
TRIP186,CUST9711,DRIVER612,Lucknow,Chennai,387.99
TRIP189,CUST22221,DRIVER9779,Hyderabad,Bangalore,234.37
TRIP192,CUST4188,DRIVER4010,Ahmedabad,Bangalore,942.57
TRIP194,CUST34085,DRIVER7113,Chennai,Mumbai,345.38
TRIP195,CUST28711,DRIVER6944,Lucknow,Ahmedabad,507.95
TRIP202,CUST221,DRIVER5593,Delhi,Bangalore,474.03
TRIP207,CUST44405,DRIVER8364,Delhi,Hyderabad,253.33
TRIP210,CUST38244,DRIVER3505,Kolkata,Mumbai,871.62
TRIP211,CUST15706,DRIVER5642,Ahmedabad,Kolkata,206.82
TRIP213,CUST33709,DRIVER3290,Hyderabad,Mumbai,462.96
TRIP217,CUST48094,DRIVER5332,Mumbai,Hyderabad,467.15
TRIP218,CUST18096,DRIVER1868,Hyderabad,Ahmedabad,818.21
TRIP219,CUST6076,DRIVER5203,Jaipur,Ahmedabad,637.89
TRIP223,CUST34159,DRIVER8696,Bangalore,Mumbai,617.93
TRIP224,CUST35637,DRIVER5887,Chennai,Bangalore,821.17
TRIP231,CUST18714,DRIVER5837,Mumbai,Kolkata,516.86
TRIP235,CUST6700,DRIVER7172,Jaipur,Delhi,381.47
TRIP237,CUST26929,DRIVER5248,Pune,Lucknow,527.87
TRIP240,CUST49237,DRIVER1283,Hyderabad,Delhi,902.18
TRIP241,CUST38425,DRIVER6234,Jaipur,Chennai,736.09
TRIP245,CUST13884,DRIVER7159,Lucknow,Mumbai,897.95
TRIP246,CUST5706,DRIVER785,Delhi,Pune,876.95
TRIP247,CUST49089,DRIVER9315,Kolkata,Lucknow,975.93
TRIP253,CUST13119,DRIVER4421,Hyderabad,Kolkata,642.39
TRIP256,CUST5761,DRIVER3691,Pune,Bangalore,475.04
TRIP259,CUST24782,DRIVER5814,Chennai,Bangalore,517.57
TRIP261,CUST38597,DRIVER8071,Jaipur,Lucknow,157.71
TRIP263,CUST37956,DRIVER9818,Ahmedabad,Chennai,514.03
TRIP264,CUST34755,DRIVER2011,Hyderabad,Mumbai,426.8
TRIP265,CUST39719,DRIVER2860,Jaipur,Ahmedabad,301.23
TRIP269,CUST4050,DRIVER7879,Chennai,Bangalore,890.46
TRIP271,CUST18092,DRIVER2848,Kolkata,Bangalore,686.93
TRIP275,CUST21654,DRIVER6817,Mumbai,Delhi,676.26
TRIP276,CUST35141,DRIVER6289,Pune,Kolkata,190.89
TRIP279,CUST40227,DRIVER1198,Bangalore,Delhi,86.78
TRIP281,CUST38219,DRIVER9006,Bangalore,Jaipur,687.71
TRIP282,CUST42061,DRIVER6302,Pune,Mumbai,440.61
TRIP283,CUST11530,DRIVER3312,Ahmedabad,Lucknow,129.0
TRIP284,CUST27297,DRIVER7725,Ahmedabad,Lucknow,705.31
TRIP285,CUST47325,DRIVER1947,Lucknow,Bangalore,985.88
TRIP287,CUST45036,DRIVER1405,Pune,Chennai,210.2
TRIP301,CUST15249,DRIVER2624,Bangalore,Chennai,207.93
TRIP307,CUST28746,DRIVER2204,Mumbai,Kolkata,330.36
TRIP308,CUST14110,DRIVER5207,Bangalore,Jaipur,428.7
TRIP311,CUST9175,DRIVER5600,Delhi,Hyderabad,340.18
TRIP313,CUST32334,DRIVER6658,Delhi,Chennai,879.38
TRIP314,CUST22771,DRIVER1674,Lucknow,Pune,426.65
TRIP318,CUST47447,DRIVER8998,Bangalore,Jaipur,349.41
TRIP320,CUST28255,DRIVER46,Delhi,Kolkata,101.85
TRIP326,CUST14886,DRIVER2801,Bangalore,Chennai,531.31
TRIP328,CUST5311,DRIVER2481,Pune,Kolkata,244.66
TRIP329,CUST41653,DRIVER7787,Bangalore,Chennai,568.72
TRIP330,CUST14861,DRIVER2276,Hyderabad,Pune,864.12
TRIP334,CUST20976,DRIVER3850,Hyderabad,Bangalore,866.18
TRIP335,CUST17255,DRIVER5165,Hyderabad,Ahmedabad,814.66
TRIP337,CUST42548,DRIVER9102,Jaipur,Bangalore,664.52
TRIP341,CUST39831,DRIVER3725,Lucknow,Delhi,318.33
TRIP344,CUST21129,DRIVER416,Kolkata,Mumbai,681.49
TRIP350,CUST22150,DRIVER9055,Lucknow,Delhi,964.9
TRIP351,CUST7529,DRIVER8385,Jaipur,Hyderabad,741.15
TRIP356,CUST23464,DRIVER9782,Mumbai,Hyderabad,56.31
TRIP358,CUST22772,DRIVER9864,Mumbai,Kolkata,335.85
TRIP361,CUST22592,DRIVER3065,Kolkata,Delhi,474.65
TRIP367,CUST4565,DRIVER8430,Delhi,Pune,696.1
TRIP368,CUST32710,DRIVER3281,Pune,Ahmedabad,408.72
TRIP374,CUST27561,DRIVER5669,Chennai,Bangalore,676.0
TRIP376,CUST48008,DRIVER3700,Pune,Kolkata,258.35
TRIP386,CUST26496,DRIVER8643,Delhi,Mumbai,661.42
TRIP388,CUST28468,DRIVER9493,Mumbai,Kolkata,518.38
TRIP391,CUST19264,DRIVER242,Hyderabad,Kolkata,756.49
TRIP393,CUST39109,DRIVER7190,Mumbai,Bangalore,388.0
TRIP394,CUST12085,DRIVER2811,Chennai,Ahmedabad,431.47
TRIP395,CUST15110,DRIVER5731,Delhi,Lucknow,68.07
TRIP396,CUST24107,DRIVER393,Mumbai,Lucknow,93.2
TRIP397,CUST29981,DRIVER5566,Kolkata,Mumbai,617.8
TRIP398,CUST4008,DRIVER4631,Kolkata,Delhi,582.22
TRIP403,CUST17721,DRIVER6257,Kolkata,Mumbai,384.34
TRIP405,CUST14661,DRIVER454,Hyderabad,Bangalore,964.82
TRIP409,CUST8263,DRIVER9812,Pune,Jaipur,835.06
TRIP411,CUST7861,DRIVER7696,Chennai,Ahmedabad,879.45
TRIP413,CUST7231,DRIVER7689,Lucknow,Pune,819.1
TRIP415,CUST4225,DRIVER5824,Hyderabad,Ahmedabad,451.17
TRIP417,CUST26299,DRIVER9529,Ahmedabad,Bangalore,55.26
TRIP420,CUST15123,DRIVER9185,Bangalore,Kolkata,410.34
TRIP423,CUST40587,DRIVER753,Delhi,Hyderabad,140.15
TRIP427,CUST1341,DRIVER7312,Delhi,Mumbai,736.75
TRIP428,CUST3235,DRIVER294,Mumbai,Ahmedabad,429.81
TRIP430,CUST23730,DRIVER9729,Kolkata,Ahmedabad,502.73
TRIP432,CUST12253,DRIVER7397,Kolkata,Lucknow,640.53
TRIP433,CUST44115,DRIVER4409,Pune,Hyderabad,594.67
TRIP435,CUST21737,DRIVER4962,Jaipur,Mumbai,901.63
TRIP436,CUST35251,DRIVER6166,Delhi,Mumbai,431.8
TRIP439,CUST1184,DRIVER1510,Bangalore,Hyderabad,197.99
TRIP443,CUST40964,DRIVER8882,Mumbai,Kolkata,931.61
TRIP446,CUST21996,DRIVER6865,Ahmedabad,Lucknow,52.6
TRIP447,CUST45980,DRIVER4182,Mumbai,Lucknow,541.01
TRIP449,CUST23050,DRIVER4748,Kolkata,Chennai,912.88
TRIP450,CUST8314,DRIVER8055,Bangalore,Hyderabad,135.72
TRIP452,CUST12010,DRIVER6182,Bangalore,Jaipur,295.81
TRIP456,CUST9155,DRIVER5373,Lucknow,Hyderabad,773.18
TRIP464,CUST10055,DRIVER9729,Hyderabad,Lucknow,768.51
TRIP465,CUST31595,DRIVER8883,Mumbai,Chennai,210.86
TRIP477,CUST2584,DRIVER3331,Ahmedabad,Kolkata,304.98
TRIP487,CUST33802,DRIVER6754,Pune,Bangalore,173.65
TRIP491,CUST21255,DRIVER3727,Jaipur,Ahmedabad,580.41
TRIP497,CUST26064,DRIVER8451,Pune,Bangalore,482.5
TRIP499,CUST30907,DRIVER1695,Hyderabad,Lucknow,925.39
TRIP510,CUST45482,DRIVER6603,Jaipur,Ahmedabad,970.03
TRIP514,CUST5136,DRIVER835,Bangalore,Kolkata,256.74
TRIP517,CUST11814,DRIVER9442,Chennai,Hyderabad,326.13
TRIP518,CUST48539,DRIVER8425,Mumbai,Ahmedabad,74.66
TRIP521,CUST46519,DRIVER1642,Mumbai,Delhi,638.13
TRIP534,CUST49960,DRIVER5637,Bangalore,Chennai,320.49
TRIP536,CUST35264,DRIVER4256,Chennai,Jaipur,527.28
TRIP538,CUST42536,DRIVER112,Bangalore,Ahmedabad,188.38
TRIP546,CUST5631,DRIVER4280,Chennai,Pune,442.92
TRIP551,CUST24252,DRIVER3767,Bangalore,Hyderabad,737.85
TRIP554,CUST14464,DRIVER5806,Pune,Lucknow,762.47
TRIP557,CUST43608,DRIVER1405,Chennai,Delhi,722.86
TRIP565,CUST5973,DRIVER478,Delhi,Bangalore,182.6
TRIP567,CUST45547,DRIVER4201,Chennai,Bangalore,597.88
TRIP570,CUST8918,DRIVER1358,Bangalore,Delhi,932.69
TRIP576,CUST29394,DRIVER9701,Bangalore,Chennai,732.82
TRIP577,CUST23210,DRIVER3315,Jaipur,Mumbai,81.52
TRIP579,CUST42757,DRIVER3959,Chennai,Bangalore,150.1
TRIP580,CUST34541,DRIVER1973,Chennai,Mumbai,729.82
TRIP581,CUST4336,DRIVER1737,Ahmedabad,Delhi,473.76
TRIP584,CUST489,DRIVER1568,Bangalore,Ahmedabad,383.44
TRIP585,CUST36,DRIVER6549,Lucknow,Delhi,760.25
TRIP586,CUST33437,DRIVER1678,Kolkata,Delhi,552.79
TRIP588,CUST5963,DRIVER4166,Chennai,Jaipur,322.55
TRIP589,CUST39734,DRIVER887,Pune,Mumbai,512.75
TRIP592,CUST43779,DRIVER8980,Pune,Ahmedabad,406.41
TRIP593,CUST16827,DRIVER9536,Lucknow,Pune,346.43
TRIP597,CUST2510,DRIVER1811,Ahmedabad,Hyderabad,163.62
TRIP599,CUST45783,DRIVER6466,Jaipur,Delhi,916.66
TRIP600,CUST33584,DRIVER6707,Kolkata,Delhi,68.85
TRIP601,CUST31436,DRIVER1007,Chennai,Lucknow,474.37
TRIP602,CUST14355,DRIVER2819,Mumbai,Kolkata,260.51
TRIP603,CUST27697,DRIVER681,Lucknow,Kolkata,748.39
TRIP615,CUST20747,DRIVER7557,Hyderabad,Bangalore,484.38
TRIP616,CUST25895,DRIVER8199,Jaipur,Pune,698.33
TRIP620,CUST33589,DRIVER8130,Pune,Jaipur,378.08
TRIP625,CUST48609,DRIVER6,Bangalore,Pune,629.07
TRIP627,CUST26377,DRIVER5078,Chennai,Bangalore,761.32
TRIP628,CUST27296,DRIVER9861,Jaipur,Pune,443.69
TRIP630,CUST31751,DRIVER4759,Lucknow,Ahmedabad,742.13
TRIP631,CUST29339,DRIVER894,Hyderabad,Ahmedabad,565.49
TRIP633,CUST18108,DRIVER1569,Hyderabad,Kolkata,710.04
TRIP636,CUST42730,DRIVER9439,Mumbai,Ahmedabad,490.92
TRIP637,CUST9128,DRIVER2910,Jaipur,Kolkata,880.28
TRIP639,CUST36144,DRIVER1936,Mumbai,Jaipur,138.56
TRIP641,CUST6901,DRIVER9221,Pune,Jaipur,507.47
TRIP643,CUST41874,DRIVER1979,Pune,Bangalore,597.28
TRIP644,CUST28848,DRIVER6361,Pune,Jaipur,568.36
TRIP646,CUST5552,DRIVER5637,Bangalore,Kolkata,946.81
TRIP648,CUST40054,DRIVER4197,Mumbai,Ahmedabad,835.76
TRIP649,CUST11975,DRIVER3282,Ahmedabad,Kolkata,987.1
TRIP654,CUST6009,DRIVER1502,Jaipur,Chennai,626.53
TRIP656,CUST41490,DRIVER6124,Lucknow,Mumbai,930.72
TRIP658,CUST41509,DRIVER9268,Lucknow,Jaipur,919.58
TRIP661,CUST4660,DRIVER1884,Bangalore,Chennai,620.06
TRIP662,CUST26159,DRIVER1698,Lucknow,Pune,62.55
TRIP666,CUST851,DRIVER5681,Bangalore,Kolkata,344.46
TRIP671,CUST41828,DRIVER1775,Pune,Bangalore,671.1
TRIP675,CUST4690,DRIVER4044,Jaipur,Pune,146.23
TRIP676,CUST35933,DRIVER3122,Mumbai,Delhi,279.57
TRIP678,CUST40953,DRIVER4421,Bangalore,Pune,281.75
TRIP681,CUST46348,DRIVER6609,Jaipur,Delhi,667.95
TRIP682,CUST10982,DRIVER1013,Lucknow,Mumbai,158.18
TRIP684,CUST35375,DRIVER8723,Kolkata,Mumbai,689.57
TRIP686,CUST36754,DRIVER1701,Pune,Jaipur,598.16
TRIP689,CUST23818,DRIVER5022,Jaipur,Kolkata,383.57
TRIP690,CUST41620,DRIVER5061,Pune,Bangalore,614.23
TRIP695,CUST14451,DRIVER1280,Kolkata,Bangalore,168.48
TRIP697,CUST35350,DRIVER8214,Mumbai,Jaipur,495.59
TRIP698,CUST40066,DRIVER9295,Pune,Hyderabad,337.79
TRIP699,CUST30647,DRIVER104,Jaipur,Chennai,324.38
TRIP703,CUST26833,DRIVER2024,Pune,Kolkata,639.99
TRIP710,CUST14016,DRIVER9347,Pune,Ahmedabad,398.56
TRIP712,CUST41648,DRIVER7846,Bangalore,Delhi,901.71
TRIP716,CUST27530,DRIVER2136,Delhi,Jaipur,795.28
TRIP718,CUST38391,DRIVER5672,Jaipur,Kolkata,845.46
TRIP719,CUST23379,DRIVER374,Hyderabad,Ahmedabad,391.05
TRIP721,CUST3696,DRIVER4057,Kolkata,Chennai,791.01
TRIP722,CUST38716,DRIVER3899,Lucknow,Bangalore,442.35
TRIP726,CUST9043,DRIVER5357,Mumbai,Kolkata,878.38
TRIP728,CUST36945,DRIVER8534,Ahmedabad,Chennai,493.48
TRIP730,CUST14905,DRIVER4594,Chennai,Delhi,584.27
TRIP732,CUST41351,DRIVER4256,Lucknow,Jaipur,726.32
TRIP733,CUST22477,DRIVER7455,Mumbai,Chennai,125.25
TRIP734,CUST42765,DRIVER176,Jaipur,Chennai,646.67
TRIP738,CUST19160,DRIVER8864,Hyderabad,Mumbai,242.08
TRIP739,CUST46781,DRIVER1006,Hyderabad,Lucknow,158.21
TRIP742,CUST34662,DRIVER8426,Chennai,Bangalore,575.96
TRIP746,CUST35392,DRIVER8016,Mumbai,Ahmedabad,654.09
TRIP747,CUST9710,DRIVER4750,Chennai,Ahmedabad,705.17
TRIP750,CUST36900,DRIVER6043,Kolkata,Delhi,792.72
TRIP751,CUST29139,DRIVER9831,Ahmedabad,Mumbai,538.68
TRIP754,CUST36025,DRIVER4231,Delhi,Kolkata,799.98
TRIP756,CUST18456,DRIVER8944,Kolkata,Hyderabad,279.64
TRIP757,CUST46667,DRIVER1890,Bangalore,Hyderabad,242.46
TRIP770,CUST3373,DRIVER5188,Bangalore,Jaipur,578.45
TRIP775,CUST26113,DRIVER4472,Lucknow,Jaipur,341.7
TRIP778,CUST39481,DRIVER2872,Delhi,Mumbai,522.21
TRIP779,CUST2085,DRIVER6361,Jaipur,Delhi,772.34
TRIP780,CUST44279,DRIVER7811,Delhi,Pune,460.23
TRIP784,CUST45477,DRIVER7559,Mumbai,Pune,411.83
TRIP787,CUST49894,DRIVER1324,Chennai,Lucknow,241.2
TRIP788,CUST3630,DRIVER5151,Mumbai,Lucknow,282.02
TRIP789,CUST38277,DRIVER9841,Kolkata,Delhi,982.23
TRIP794,CUST46112,DRIVER7815,Jaipur,Mumbai,244.11
TRIP795,CUST2207,DRIVER1064,Ahmedabad,Mumbai,62.16
TRIP796,CUST36525,DRIVER2895,Lucknow,Mumbai,112.66
TRIP797,CUST47519,DRIVER7127,Mumbai,Ahmedabad,456.01
TRIP800,CUST19692,DRIVER3930,Ahmedabad,Jaipur,101.16
TRIP804,CUST31835,DRIVER9529,Mumbai,Ahmedabad,67.08
TRIP805,CUST22620,DRIVER9938,Kolkata,Delhi,193.0
TRIP806,CUST22781,DRIVER5333,Delhi,Kolkata,855.15
TRIP808,CUST9007,DRIVER7782,Chennai,Hyderabad,306.23
TRIP811,CUST33380,DRIVER9712,Pune,Chennai,511.27
TRIP812,CUST47081,DRIVER4923,Kolkata,Delhi,541.98
TRIP815,CUST23519,DRIVER4726,Lucknow,Delhi,790.08
TRIP821,CUST10874,DRIVER2710,Lucknow,Mumbai,877.34
TRIP822,CUST9786,DRIVER5309,Bangalore,Ahmedabad,595.75
TRIP828,CUST5271,DRIVER3626,Hyderabad,Lucknow,719.71
TRIP830,CUST47315,DRIVER6419,Bangalore,Mumbai,300.31
TRIP831,CUST33637,DRIVER5942,Chennai,Mumbai,411.18
TRIP833,CUST30517,DRIVER6940,Kolkata,Pune,75.11
TRIP834,CUST34592,DRIVER5061,Jaipur,Ahmedabad,847.5
TRIP838,CUST46690,DRIVER2438,Bangalore,Jaipur,263.05
TRIP848,CUST25793,DRIVER5778,Delhi,Bangalore,643.33
TRIP852,CUST38032,DRIVER2065,Mumbai,Jaipur,812.41
TRIP860,CUST42962,DRIVER1618,Ahmedabad,Jaipur,335.68
TRIP861,CUST30585,DRIVER6419,Bangalore,Ahmedabad,376.63
TRIP863,CUST45572,DRIVER2303,Pune,Chennai,770.44
TRIP865,CUST40269,DRIVER3212,Jaipur,Hyderabad,548.99
TRIP866,CUST14804,DRIVER4926,Pune,Chennai,595.23
TRIP870,CUST46298,DRIVER3976,Bangalore,Ahmedabad,894.12
TRIP873,CUST6807,DRIVER3261,Hyderabad,Pune,193.71
TRIP875,CUST9377,DRIVER3665,Lucknow,Pune,982.91
TRIP878,CUST19353,DRIVER3756,Chennai,Jaipur,261.77
TRIP880,CUST32521,DRIVER6365,Jaipur,Pune,519.92
TRIP882,CUST13788,DRIVER3889,Jaipur,Ahmedabad,580.34
TRIP889,CUST29977,DRIVER2421,Hyderabad,Ahmedabad,582.22
TRIP893,CUST28752,DRIVER2340,Chennai,Mumbai,924.61
TRIP896,CUST366,DRIVER8735,Ahmedabad,Bangalore,168.35
TRIP897,CUST31368,DRIVER7544,Kolkata,Pune,919.11
TRIP898,CUST23507,DRIVER625,Kolkata,Bangalore,335.4
TRIP902,CUST39083,DRIVER7573,Jaipur,Mumbai,527.26
TRIP903,CUST27252,DRIVER7176,Chennai,Lucknow,804.62
TRIP904,CUST995,DRIVER1007,Mumbai,Jaipur,453.06
TRIP905,CUST42107,DRIVER739,Mumbai,Ahmedabad,645.66
TRIP907,CUST14937,DRIVER2024,Lucknow,Bangalore,815.23
TRIP908,CUST20906,DRIVER5718,Bangalore,Hyderabad,270.61
TRIP918,CUST5489,DRIVER4543,Hyderabad,Jaipur,993.42
TRIP919,CUST3281,DRIVER3262,Lucknow,Mumbai,645.64
TRIP921,CUST40142,DRIVER7741,Lucknow,Hyderabad,565.5
TRIP922,CUST7946,DRIVER3392,Kolkata,Ahmedabad,603.4
TRIP928,CUST33268,DRIVER8173,Pune,Jaipur,945.94
TRIP931,CUST31082,DRIVER3078,Kolkata,Pune,236.97
TRIP933,CUST16376,DRIVER6434,Mumbai,Hyderabad,778.6
TRIP936,CUST13154,DRIVER7388,Kolkata,Jaipur,315.31
TRIP939,CUST27028,DRIVER459,Kolkata,Ahmedabad,792.04
TRIP946,CUST22725,DRIVER1105,Jaipur,Bangalore,247.96
TRIP947,CUST9437,DRIVER699,Bangalore,Pune,418.02
TRIP948,CUST44054,DRIVER3724,Pune,Mumbai,936.7
TRIP955,CUST7031,DRIVER1007,Ahmedabad,Pune,551.74
TRIP957,CUST17965,DRIVER5180,Kolkata,Delhi,165.23
TRIP958,CUST27980,DRIVER8894,Jaipur,Hyderabad,669.07
TRIP960,CUST28023,DRIVER2612,Pune,Jaipur,246.96
TRIP961,CUST38140,DRIVER8233,Mumbai,Jaipur,394.97
TRIP963,CUST31517,DRIVER9961,Chennai,Ahmedabad,793.01
TRIP964,CUST6545,DRIVER2118,Lucknow,Chennai,895.26
TRIP965,CUST25537,DRIVER4868,Pune,Jaipur,785.5
TRIP967,CUST24991,DRIVER7575,Jaipur,Pune,767.83
TRIP968,CUST43618,DRIVER7686,Delhi,Bangalore,807.29
TRIP969,CUST20062,DRIVER6609,Hyderabad,Lucknow,347.84
TRIP974,CUST35042,DRIVER6289,Bangalore,Chennai,777.5
TRIP980,CUST30115,DRIVER1756,Jaipur,Bangalore,312.59
TRIP981,CUST46193,DRIVER1737,Chennai,Jaipur,704.69
TRIP983,CUST17973,DRIVER8565,Chennai,Bangalore,361.13
TRIP987,CUST36301,DRIVER2112,Delhi,Lucknow,708.36
TRIP990,CUST42105,DRIVER2714,Ahmedabad,Chennai,228.47
TRIP992,CUST140,DRIVER6053,Pune,Mumbai,203.89
TRIP999,CUST44299,DRIVER176,Pune,Hyderabad,611.49
TRIP1001,CUST44381,DRIVER5207,Pune,Delhi,266.49
TRIP1005,CUST31322,DRIVER8468,Lucknow,Hyderabad,559.3
TRIP1008,CUST7914,DRIVER1367,Delhi,Ahmedabad,332.69
TRIP1010,CUST9221,DRIVER2973,Pune,Lucknow,487.69
TRIP1015,CUST11205,DRIVER2859,Lucknow,Bangalore,777.3
TRIP1016,CUST31633,DRIVER9268,Mumbai,Lucknow,765.59
TRIP1023,CUST22729,DRIVER5912,Kolkata,Delhi,158.52
TRIP1027,CUST39786,DRIVER9024,Lucknow,Jaipur,621.73
TRIP1038,CUST18707,DRIVER424,Delhi,Mumbai,55.45
TRIP1040,CUST7546,DRIVER9019,Mumbai,Kolkata,808.22
TRIP1041,CUST30049,DRIVER496,Pune,Chennai,799.75
TRIP1045,CUST32890,DRIVER4231,Chennai,Kolkata,452.89
TRIP1048,CUST45046,DRIVER2486,Delhi,Hyderabad,55.45
TRIP1051,CUST49942,DRIVER1006,Pune,Jaipur,542.34
TRIP1060,CUST32500,DRIVER379,Pune,Chennai,381.8
TRIP1062,CUST22450,DRIVER5478,Hyderabad,Delhi,637.86
TRIP1064,CUST22533,DRIVER6306,Kolkata,Lucknow,225.65
TRIP1068,CUST15893,DRIVER4078,Lucknow,Mumbai,824.69
TRIP1072,CUST49768,DRIVER6006,Chennai,Kolkata,936.57
TRIP1079,CUST2641,DRIVER5688,Jaipur,Pune,682.62
